"Regular Letter","Простое письмо"
"Registered Letter","Заказное письмо"
"Declared Value Letter","Ценное письмо"
"Regular IPO","Простой мультиконверт"
"Registered IPO","Заказной мультиконверт"
"Regular Letter First-Class","Простое письмо 1 класс"
"Registered Letter First-Class","Заказное письмо 1 класс"
"Declared Value Letter First-Class","Ценное письмо 1 класс"
"Regular Wrapper","Простая бандероль"
"Registered Wrapper","Заказная бандероль"
"Registered Wrapper First-Class","Заказная бандероль 1 класс"
"Declared Value Wrapper","Ценная бандероль"
"Declared Value Parcel","Ценная посылка"
"Declared Value Wrapper Air","Ценная авиабандероль"
"Declared Value Parcel Air","Ценная авиапосылка"
"Declared Value Wrapper First-Class","Ценная бандероль 1 класс"
"EMS Courier Delivery","Курьерская доставка EMS"
"Courier Online","Курьер Онлайн"
"Parcel Online","Посылка Онлайн"
"International M Bag","Международный мешок М"
"International M Bag Air","Международный мешок М авиа"
"International Registered M Bag","Международный мешок М заказной"
"International Registered M Bag Air","Международный мешок М авиа заказной"
"International Wrapper","Международная бандероль"
"International Wrapper Air","Международная авиабандероль"
"International Registered Wrapper","Международная бандероль заказная"
"International Registered Wrapper Air","Международная авиабандероль заказная"
"International Small Packet","Международный мелкий пакет"
"International Small Packet Air","Международный мелкий пакет авиа"
"International Registered Small Packet","Международный мелкий пакет заказной"
"International Registered Small Packet Air","Международный мелкий пакет авиа заказной"
"International Parcel","Международная посылка"
"International Parcel Air","Международная авиапосылка"
"International EMS Documents","ЕMS международное - документы"
"International EMS Goods","ЕMS международное - товары"
"Enabled for Checkout","Включено для заказа"
"Title","Название"
"Enable test mode","Включить тестовый режим"
"Post office zip code","Индекс почтового отделения"
"Post office zip code which handles departure","Идекс почтового отделения где обрабатываются отправления"
"Insurance type","Тип страховки"
"Include processing fee","Включить наценку за обработку заказа в расчет доставки"
"Processing fee amount","Значение наценки за обработку заказа"
"Include packing fee","Включить наценку за упаковку одного отправления в расчет доставки"
"Packing fee amount","Значение наценки за упаковку одного отправления"
"Amount will have influence on the insurance cost during shipping rates calculation process","Значение повлияет на сумму страховки при расчете стоимости доставки"
"The percentage of the declared value","Процент объявленной стоимости"
"Disabled","Отключено"
"Fixed","Фиксированное значение"
"Percent of the order subtotal","% от промежуточного итога заказа"
"Include VAT","Включить НДС в расчет доставки"
"Weight unit","Единица измерения веса"
"Administrator email","Адрес электронной почты администратора"
"Address of the system administrator or a person who is responsible for API integration, required for live mode","Адрес системного администратора или илца ответственного за интеграцию API, обязательное поле для расчетов в рабочем режиме"
"Full","Полная"
"Partial","Частичная"
"Full - potential losses are insured, optimal for Cash On Delivery<br />Partial - only goods are insured, the usual practice of the Russian Post","Полная - страхуются возможные убытки, оптимально для наложенного платежа<br />Частичная - страхуется только товарное вложение, обычная практика Почты России"
"Calculate Handling Fee","Наценка за обработку заказа"
"Handling Applied","Наценка за обработку заказа применяется"
"Handling Fee","Значение наценки за обработку заказа"
"Applies after shipping rates calculation","Применяется после расчта тарифов доставки"
"This shipping method is not available, the origin country must be Russia.","Метод доставки не доступен, страна отправления должна быть Россия."
"Percent of the shipping method cost","Процент от стоимости доставки"
"Pounds","Фунты"
"Kilograms","Килограммы"
"Ounces","Унции"
"Grams","Граммы"
"Offset of the shipment date","Смещение даты отгрузки"
"In days, shipping cost will be calculated on the specified day","В днях, стоимость доставки будет рассчитываться на указанный день"
"Display estimated delivery time","Отображать расчетное время доставки"
"Estimated delivery time offset","Смещенеи расчетного времени доставки"
"In days, value will be added to the estimated delivery time returned by the shipping carrier","В днях, значение будет добавлено к расчетному времени возвращенного сервером"
"Displayed Error Message","Отображаемое сообщение об ошибке"
"Ship to Applicable Countries","Доставлять в доступные страны"
"Ship to Specific Countries","Доставлять в определённые страны"
"Debug","Устранение неполадок (debug)"
"Show Method if Not Applicable","Показывать метод, если не доступен"
"Sort Order","Порядок сортировки"
"day(s)","д."
"Yes","Да"
"No","Нет"
"Enable","Включить"
"Disable","Отключить"
"Percent","Процент"
"Allowed Methods","Разрешенные методы"
"Free Shipping with Minimum Order Amount","Бесплатная доставка после определенной суммы заказа"
"Per Order","На заказ"
"Per Package","На упаковку"
"All Allowed Countries","Все разрешенные страны"
"Specific Countries","Определенные страны"
"This shipping method is not available, please specify a correct ZIP-code","Метод доставки недоступен, пожалуйста, укажите корректный почтовый индекс."
"Free Method","Бесплатный метод"
"Minimum Order Amount for Free Shipping","Минимальная сумма заказа для бесплатной доставки"
"Russian ruble currency is not allowed in current store configuration","Валюта российский рубль не доступна в текущей конфигурации магазина"
"Fixed amount must be in the website currency","Фиксированное значение должно быть в валюте вебсайта"
